ZoneID0,AgeID,NumChildID,Val
320000,4,3,256
320000,5,0,1178
320000,5,1,332
320000,5,2,195
320000,5,3,42
320000,6,0,4614
320000,6,1,2677
320000,6,2,3306
320000,6,3,1099
320000,7,0,5038
320000,7,1,549
320000,7,2,176
320000,7,3,30
320000,8,0,4591
320000,8,1,38
320000,8,2,11
320000,8,3,2
320000,9,0,3203
320000,9,1,2
320000,10,0,883
326000,1,0,55
326000,1,1,810
326000,1,2,1660
326000,1,3,920
326000,2,0,73
326000,2,1,619
326000,2,2,1675
326000,2,3,1201
326000,3,0,61
326000,3,1,462
326000,3,2,824
326000,3,3,469
326000,4,0,1232
326000,4,1,949
326000,4,2,761
326000,4,3,358
326000,5,0,1493
326000,5,1,395
326000,5,2,320
326000,5,3,55
326000,6,0,5722
326000,6,1,3180
326000,6,2,3803
326000,6,3,1536
326000,7,0,6613
326000,7,1,684
326000,7,2,219
326000,7,3,51
326000,8,0,6482
326000,8,1,34
326000,8,2,3
326000,8,3,2
326000,9,0,4638
326000,9,1,3
326000,9,2,1
326000,10,0,1238
329000,1,0,9
329000,1,1,772
329000,1,2,1580
329000,1,3,690
329000,2,0,30
329000,2,1,480
329000,2,2,1467
329000,2,3,817
329000,3,0,24
329000,3,1,362
329000,3,2,648
329000,3,3,327
329000,4,0,1097
329000,4,1,735
329000,4,2,595
329000,4,3,275
329000,5,0,1502
329000,5,1,353
329000,5,2,181
329000,5,3,36
329000,6,0,4729
329000,6,1,2768
329000,6,2,3556
329000,6,3,1147
329000,7,0,4183
329000,7,1,573
329000,7,2,174
329000,7,3,25
329000,8,0,3494
329000,8,1,26
329000,8,2,12
329000,9,0,2498
329000,9,1,1
329000,9,2,1
329000,10,0,739
330000,1,0,49
330000,1,1,1598
330000,1,2,3111
330000,1,3,1490
330000,2,0,124
330000,2,1,892
330000,2,2,2826
330000,2,3,1791
330000,3,0,134
330000,3,1,754
330000,3,2,1237
330000,3,3,690
330000,4,0,3205
330000,4,1,1522
330000,4,2,1172
330000,4,3,638
330000,5,0,3605
330000,5,1,848
330000,5,2,486
330000,5,3,115
330000,6,0,9757
330000,6,1,5281
330000,6,2,6586
330000,6,3,2370
330000,7,0,9904
330000,7,1,1049
330000,7,2,303
330000,7,3,92
330000,8,0,9235
330000,8,1,70
330000,8,2,13
330000,8,3,4
330000,9,0,6853
330000,9,1,3
330000,9,2,2
330000,9,3,1
330000,10,0,1918
336000,1,0,23
336000,1,1,410
336000,1,2,969
336000,1,3,397
336000,2,0,47
336000,2,1,283
336000,2,2,930
336000,2,3,527
336000,3,0,35
336000,3,1,217
336000,3,2,404
336000,3,3,193
336000,4,0,401
336000,4,1,434
336000,4,2,383
336000,4,3,152
336000,5,0,538
336000,5,1,184
336000,5,2,139
336000,5,3,16
336000,6,0,2603
336000,6,1,1586
336000,6,2,2213
336000,6,3,702
336000,7,0,3310
336000,7,1,371
336000,7,2,108
336000,7,3,12
336000,8,0,3127
336000,8,1,22
336000,8,2,5
336000,8,3,2
336000,9,0,2351
336000,10,0,598
340000,1,0,18
340000,1,1,585
340000,1,2,1302
340000,1,3,633
340000,2,0,51
340000,2,1,366
340000,2,2,1267
340000,2,3,752
340000,3,0,63
340000,3,1,308
340000,3,2,556
340000,3,3,314
340000,4,0,590
340000,4,1,606
340000,4,2,499
340000,4,3,227
340000,5,0,869
340000,5,1,277
340000,5,2,156
340000,5,3,26
340000,6,0,3392
340000,6,1,2128
340000,6,2,2977
340000,6,3,1035
340000,7,0,3995
340000,7,1,512
340000,7,2,141
340000,7,3,32
340000,8,0,3516
340000,8,1,26
340000,8,2,11
340000,9,0,2483
340000,9,1,2
340000,10,0,729
350000,1,0,13
350000,1,1,566
350000,1,2,1464
350000,1,3,653
350000,2,0,40
350000,2,1,320
350000,2,2,1373
350000,2,3,758
350000,3,0,34
350000,3,1,247
350000,3,2,612
350000,3,3,290
350000,4,0,345
350000,4,1,605
350000,4,2,562
350000,4,3,241
350000,5,0,597
350000,5,1,203
350000,5,2,106
350000,5,3,21
350000,6,0,2531
350000,6,1,2102
350000,6,2,3443
350000,6,3,1094
350000,7,0,3432
350000,7,1,534
350000,7,2,176
350000,7,3,37
350000,8,0,3365
350000,8,1,27
350000,8,2,7
350000,9,0,2526
350000,9,1,1
350000,9,3,1
350000,10,0,604
360000,1,0,59
360000,1,1,556
360000,1,2,1078
360000,1,3,678
360000,2,0,92
360000,2,1,462
360000,2,2,1172
360000,2,3,876
360000,3,0,54
360000,3,1,362
360000,3,2,497
360000,3,3,317
360000,4,0,974
360000,4,1,675
360000,4,2,420
360000,4,3,252
360000,5,0,1060
360000,5,1,249
360000,5,2,190
360000,5,3,45
360000,6,0,5092
